menu-item-name,"Fish Tikka Masala*","Fish Tikka Masala","fish tikka masala","Fish Tikka Masalas","fish tikka masalas"
menu-item-name,"Calamari Curry*","Calamari Curry","calamari curry","Calamari Currys","calamari currys"
menu-item-name,"Kashmiri Fish *","Kashmiri Fish ","kashmiri fish ","Kashmiri Fish s","kashmiri fish s","Kashmiri Fish","kashmiri fish","Kashmiri Fishs","kashmiri fishs"
menu-item-name,"Tandoori Chicken*","Tandoori Chicken","tandoori chicken","Tandoori Chickens","tandoori chickens"
menu-item-name,"Boti Kabab*","Boti Kabab","boti kabab","Boti Kababs","boti kababs"
menu-item-name,"Fish Tandoori*","Fish Tandoori","fish tandoori","Fish Tandooris","fish tandooris"
menu-item-name,"Clay Oven Mixed Grill*","Clay Oven Mixed Grill","clay oven mixed grill","Clay Oven Mixed Grills","clay oven mixed grills"
menu-item-name,"Chicken Tikka Kabab*","Chicken Tikka Kabab","chicken tikka kabab","Chicken Tikka Kababs","chicken tikka kababs"
menu-item-name,"Prawn Tandoori*","Prawn Tandoori","prawn tandoori","Prawn Tandooris","prawn tandooris"
menu-item-name,"Seekh Kabab*","Seekh Kabab","seekh kabab","Seekh Kababs","seekh kababs"
menu-item-name,"Lamb Chops*","Lamb Chops","lamb chops","Lamb Chop","lamb chop"
menu-item-name,"Nan*","Nan","nan"
menu-item-name,"Onion Kulcha*","Onion Kulcha","onion kulcha","Onion Kulchas","onion kulchas"
menu-item-name,"Kashmiri Nan*","Kashmiri Nan","kashmiri nan","Kashmiri Nans","kashmiri nans"
menu-item-name,"Chapati*","Chapati","chapati","Chapatis","chapatis"
menu-item-name,"Aloo Paratha*","Aloo Paratha","aloo paratha","Aloo Parathas","aloo parathas"
menu-item-name,"Spinach Nan*","Spinach Nan","spinach nan","Spinach Nans","spinach nans"
menu-item-name,"Assorted Basket*","Assorted Basket","assorted basket","Assorted Baskets","assorted baskets"
menu-item-name,"Goat Cheese Nan*","Goat Cheese Nan","goat cheese nan","Goat Cheese Nans","goat cheese nans"
menu-item-name,"Garlic Nan*","Garlic Nan","garlic nan","Garlic Nans","garlic nans"
menu-item-name,"Keema Nan*","Keema Nan","keema nan","Keema Nans","keema nans"
menu-item-name,"Pratha*","Pratha","pratha","Prathas","prathas"
menu-item-name,"Chili Nan*","Chili Nan","chili nan","Chili Nans","chili nans"
menu-item-name,"Mushroom Cheese Chili Nan*","Mushroom Cheese Chili Nan","mushroom cheese chili nan","Mushroom Cheese Chili Nans","mushroom cheese chili nans"
menu-item-name,"Rice Pilav*","Rice Pilav","rice pilav","Rice Pilavs","rice pilavs"
menu-item-name,"Calamari Biryani*","Calamari Biryani","calamari biryani","Calamari Biryanis","calamari biryanis"
menu-item-name,"Lamb Biryani*","Lamb Biryani","lamb biryani","Lamb Biryanis","lamb biryanis"
menu-item-name,"Punjabi Fry Rice*","Punjabi Fry Rice","punjabi fry rice","Punjabi Fry Rices","punjabi fry rices"
menu-item-name,"Vegetable Biryani*","Vegetable Biryani","vegetable biryani","Vegetable Biryanis","vegetable biryanis"
menu-item-name,"Chicken Biryani*","Chicken Biryani","chicken biryani","Chicken Biryanis","chicken biryanis"
menu-item-name,"Prawns Biryani*","Prawns Biryani","prawns biryani","Prawns Biryanis","prawns biryanis"
menu-item-name,"Kheer*","Kheer","kheer","Kheers","kheers"
menu-item-name,"Gulab Jamun*","Gulab Jamun","gulab jamun","Gulab Jamuns","gulab jamuns"
menu-item-name,"Coconut Ice Cream*","Coconut Ice Cream","coconut ice cream","Coconut Ice Creams","coconut ice creams"
menu-item-name,"Kulfi*","Kulfi","kulfi","Kulfis","kulfis"
menu-item-name,"Mango Kulfi*","Mango Kulfi","mango kulfi","Mango Kulfis","mango kulfis"
menu-item-name,"Masala Chai Tea*","Masala Chai Tea","masala chai tea","Masala Chai Teas","masala chai teas"
menu-item-name,"Iced Tea*","Iced Tea","iced tea","Iced Teas","iced teas"
menu-item-name,"Pellegrino Water*","Pellegrino Water","pellegrino water","Pellegrino Waters","pellegrino waters"
menu-item-name,"Lassi*","Lassi","lassi","Lassis","lassis"
menu-item-name,"Coffee*","Coffee","coffee","Coffees","coffees"
menu-item-name,"Soda (12 oz.)*","Soda (12 oz.)","soda (12 oz.)","Soda (12 oz.)s","soda (12 oz.)s","Soda","soda","Sodas","sodas"
menu-item-name,"Papadum*","Papadum","papadum","Papadums","papadums"
menu-item-name,"Vegetable Pakora*","Vegetable Pakora","vegetable pakora","Vegetable Pakoras","vegetable pakoras"
menu-item-name,"Cheese Pakora*","Cheese Pakora","cheese pakora","Cheese Pakoras","cheese pakoras"
