menu-item-name,"Fall Game Day Special: California Roll*","Fall Game Day Special: California Roll","fall game day special: california roll","Fall Game Day Special: California Rolls","fall game day special: california rolls"
menu-item-name,"Fall Game Day Special: Potstickers*","Fall Game Day Special: Potstickers","fall game day special: potstickers","Fall Game Day Special: Potsticker","fall game day special: potsticker"
menu-item-name,"Fall Game Day Special: Chicken Wings*","Fall Game Day Special: Chicken Wings","fall game day special: chicken wings","Fall Game Day Special: Chicken Wing","fall game day special: chicken wing"
menu-item-name,"Can Soda*","Can Soda","can soda","Can Sodas","can sodas"
menu-item-name,"Fresh Made Lemonade*","Fresh Made Lemonade","fresh made lemonade","Fresh Made Lemonades","fresh made lemonades"
menu-item-name,"Thai Tea*","Thai Tea","thai tea","Thai Teas","thai teas"
menu-item-name,"12. BBQ Pork *","12. BBQ Pork ","12. bbq pork ","12. BBQ Pork s","12. bbq pork s","BBQ Pork","bbq pork","BBQ Porks","bbq porks"
menu-item-name,"14. Soft Shell Crab*","14. Soft Shell Crab","14. soft shell crab","14. Soft Shell Crabs","14. soft shell crabs","Soft Shell Crab","soft shell crab","Soft Shell Crabs","soft shell crabs"
menu-item-name,"16. Steamed Soybeans (Edamame)*","16. Steamed Soybeans (Edamame)","16. steamed soybeans (edamame)","16. Steamed Soybeans (Edamame)s","16. steamed soybeans (edamame)s","Steamed Soybeans (Edamame)","steamed soybeans (edamame)","Steamed Soybeans (Edamame)s","steamed soybeans (edamame)s","Steamed Soybeans","steamed soybeans","Steamed Soybean","steamed soybean"
menu-item-name,"18. Fried Shrimp or Fish*","18. Fried Shrimp or Fish","18. fried shrimp or fish","18. Fried Shrimp or Fishs","18. fried shrimp or fishs","Fried Shrimp or Fish","fried shrimp or fish","Fried Shrimp or Fishs","fried shrimp or fishs"
menu-item-name,"20. Tempura Combo*","20. Tempura Combo","20. tempura combo","20. Tempura Combos","20. tempura combos","Tempura Combo","tempura combo","Tempura Combos","tempura combos"
menu-item-name,"22. Shrimp Tempura *","22. Shrimp Tempura ","22. shrimp tempura ","22. Shrimp Tempura s","22. shrimp tempura s","Shrimp Tempura","shrimp tempura","Shrimp Tempuras","shrimp tempuras"
menu-item-name,"1. Hot and Sour Soup*","1. Hot and Sour Soup","1. hot and sour soup","1. Hot and Sour Soups","1. hot and sour soups","Hot and Sour Soup","hot and sour soup","Hot and Sour Soups","hot and sour soups"
menu-item-name,"3. Won Ton Soup*","3. Won Ton Soup","3. won ton soup","3. Won Ton Soups","3. won ton soups","Won Ton Soup","won ton soup","Won Ton Soups","won ton soups"
menu-item-name,"5. Egg Flower with Sweet Corn Soup*","5. Egg Flower with Sweet Corn Soup","5. egg flower with sweet corn soup","5. Egg Flower with Sweet Corn Soups","5. egg flower with sweet corn soups","Egg Flower with Sweet Corn Soup","egg flower with sweet corn soup","Egg Flower with Sweet Corn Soups","egg flower with sweet corn soups"
menu-item-name,"7. Chicken Corn Soup*","7. Chicken Corn Soup","7. chicken corn soup","7. Chicken Corn Soups","7. chicken corn soups","Chicken Corn Soup","chicken corn soup","Chicken Corn Soups","chicken corn soups"
